origNode, k, verticesSeen
181,2,662,
181,3,20208,
182,1,155,
182,2,12969,
182,3,27997,
183,1,17,
183,2,4372,
183,3,26136,
184,1,12,
184,2,3794,
184,3,25826,
185,1,58,
185,2,8969,
185,3,27523,
186,1,7,
186,2,834,
186,3,20997,
187,1,1,
187,2,136,
187,3,12427,
188,1,90,
188,2,11614,
188,3,27888,
189,1,12,
189,2,953,
189,3,21832,
190,1,6,
190,2,1629,
190,3,23466,
191,1,10,
191,2,3399,
191,3,25392,
192,1,6,
192,2,3064,
192,3,25139,
193,1,3,
193,2,697,
193,3,19978,
194,1,2,
194,2,662,
194,3,19753,
195,1,2831,
195,2,24871,
195,3,28550,
196,1,620,
196,2,19780,
196,3,28401,
197,1,278,
197,2,15887,
197,3,28201,
198,1,1186,
198,2,22118,
198,3,28467,
199,1,236,
199,2,14849,
199,3,28154,
200,1,112,
200,2,12309,
200,3,27957,
201,1,1637,
201,2,23272,
201,3,28517,
202,1,327,
202,2,16449,
202,3,28254,
203,1,132,
203,2,12975,
203,3,27988,
204,1,595,
204,2,19664,
204,3,28383,
205,1,115,
205,2,13012,
205,3,27978,
206,1,42,
206,2,5540,
206,3,26626,
207,1,1284,
207,2,22669,
207,3,28486,
208,1,253,
208,2,15811,
208,3,28178,
209,1,105,
209,2,10747,
209,3,27795,
210,1,509,
210,2,18844,
210,3,28367,
211,1,96,
211,2,9863,
211,3,27676,
212,1,35,
212,2,7712,
212,3,27291,
213,1,728,
213,2,20329,
213,3,28404,
214,1,151,
214,2,13088,
214,3,27999,
215,1,58,
215,2,9059,
215,3,27530,
216,1,269,
216,2,16014,
216,3,28210,
217,1,49,
217,2,5752,
217,3,26811,
218,1,12,
218,2,3232,
218,3,25453,
219,1,1687,
219,2,23287,
219,3,28503,
220,1,352,
220,2,17078,
220,3,28282,
221,1,154,
221,2,12917,
221,3,27942,
222,1,645,
222,2,19981,
222,3,28395,
223,1,128,
223,2,13672,
223,3,28033,
224,1,57,
224,2,9109,
224,3,27550,
225,1,940,
225,2,21408,
225,3,28450,
226,1,185,
226,2,15170,
226,3,28188,
227,1,77,
227,2,9945,
227,3,27667,
228,1,372,
228,2,17424,
228,3,28276,
229,1,62,
229,2,10709,
229,3,27764,
230,1,27,
230,2,8836,
230,3,27472,
231,1,789,
231,2,21123,
231,3,28433,
232,1,154,
232,2,13617,
232,3,28035,
233,1,72,
